time, est_x, est_y, est_theta, sigma_x, sigma_y,sigma_theta,
0.032, 0, 0, 2.68847e-05, 0.0025, 0.0025, 0.000625, 
0.064, 0.00147838, 1.01548e-06, 0.0013469, 0.005, 0.005, 0.00125, 
0.096, 0.00295678, 3.93163e-06, 0.00259811, 0.0075, 0.00750001, 0.001875, 
0.128, 0.00443517, 9.28348e-06, 0.00464196, 0.01, 0.01, 0.0025, 
0.16, 0.00591354, 1.78511e-05, 0.0069485, 0.0125, 0.0125, 0.003125, 
0.192, 0.00739189, 3.00039e-05, 0.00949213, 0.015, 0.0150001, 0.00375, 
0.224, 0.00887021, 4.5241e-05, 0.0111212, 0.0175, 0.0175001, 0.004375, 
0.256, 0.0103485, 6.29769e-05, 0.0128729, 0.02, 0.0200002, 0.005, 
0.288, 0.0118268, 8.29119e-05, 0.0140963, 0.0225, 0.0225003, 0.005625, 
0.32, 0.013305, 0.000104049, 0.0144996, 0.025, 0.0250004, 0.00625, 
0.352, 0.0147833, 0.000126111, 0.0153469, 0.0275, 0.0275005, 0.006875, 
0.384, 0.0162615, 0.000149653, 0.016502, 0.03, 0.0300007, 0.0075, 
0.416, 0.0177396, 0.000175531, 0.0185088, 0.0325, 0.0325009, 0.008125, 
0.448, 0.0192178, 0.00020463, 0.0208588, 0.035, 0.0350011, 0.00875, 
0.48, 0.0206958, 0.000237484, 0.0235902, 0.0375, 0.0375014, 0.009375, 
0.512, 0.0221738, 0.000273038, 0.0245132, 0.04, 0.0400017, 0.01, 
0.544, 0.0236517, 0.000310398, 0.0260331, 0.0425, 0.042502, 0.010625, 
0.576, 0.0251295, 0.000350678, 0.0284641, 0.045, 0.0450024, 0.01125, 
0.608, 0.0266073, 0.000393989, 0.0301371, 0.0475, 0.0475029, 0.011875, 
0.64, 0.028085, 0.000439837, 0.0318955, 0.05, 0.0500034, 0.0125, 
0.672, 0.0295626, 0.000488484, 0.0339274, 0.0525, 0.0525039, 0.013125, 
0.704, 0.0310401, 0.000540003, 0.0357824, 0.055, 0.0550045, 0.01375, 
0.736, 0.0325175, 0.000593088, 0.036047, 0.0575, 0.0575052, 0.014375, 
0.768, 0.0339949, 0.000648358, 0.0387404, 0.06, 0.0600059, 0.015, 
0.8, 0.0354722, 0.000706979, 0.0405841, 0.0625, 0.0625067, 0.015625, 
0.832, 0.0369493, 0.000768895, 0.0432006, 0.065, 0.0650075, 0.01625, 
0.864, 0.0384262, 0.000835046, 0.0463202, 0.0675, 0.0675085, 0.016875, 
0.896, 0.039903, 0.000903384, 0.0461611, 0.07, 0.0700095, 0.0175, 
0.928, 0.0413798, 0.000971694, 0.046282, 0.0725, 0.0725105, 0.018125, 
0.96, 0.0428565, 0.00104254, 0.0495906, 0.075, 0.0750117, 0.01875, 
0.992, 0.044333, 0.00111734, 0.0516437, 0.0775, 0.0775129, 0.019375, 
1.024, 0.0458094, 0.00119425, 0.0524488, 0.08, 0.0800142, 0.02, 
1.056, 0.0472858, 0.00127246, 0.0534109, 0.0825, 0.0825156, 0.020625, 
1.088, 0.048762, 0.00135213, 0.0544184, 0.085, 0.0850171, 0.02125, 
1.12, 0.0502381, 0.00143389, 0.0562493, 0.0875, 0.0875187, 0.021875, 
1.152, 0.0517141, 0.00151847, 0.0582243, 0.09, 0.0900203, 0.0225, 
1.184, 0.0531899, 0.00160641, 0.0608101, 0.0925, 0.0925221, 0.023125, 
1.216, 0.0546655, 0.00169753, 0.0625363, 0.095, 0.095024, 0.02375, 
1.248, 0.0561409, 0.0017909, 0.0638651, 0.0975, 0.0975259, 0.024375, 
1.28, 0.0576162, 0.00188735, 0.0667147, 0.1, 0.100028, 0.025, 
1.312, 0.0590912, 0.0019875, 0.068861, 0.1025, 0.10253, 0.025625, 
1.344, 0.0605661, 0.00208972, 0.0695466, 0.105, 0.105032, 0.02625, 
1.376, 0.0620408, 0.00219306, 0.0703539, 0.1075, 0.107535, 0.026875, 
1.408, 0.0635156, 0.00229705, 0.0704466, 0.11, 0.110037, 0.0275, 
1.44, 0.0649902, 0.00240231, 0.0720746, 0.1125, 0.11254, 0.028125, 
1.472, 0.0664646, 0.00251065, 0.0746145, 0.115, 0.115043, 0.02875, 
1.504, 0.0679388, 0.00262262, 0.077005, 0.1175, 0.117546, 0.029375, 
1.536, 0.0694128, 0.00273604, 0.0765933, 0.12, 0.120049, 0.03, 
1.568, 0.0708868, 0.00285051, 0.0784166, 0.1225, 0.122552, 0.030625, 
1.6, 0.0723606, 0.00296669, 0.0789126, 0.125, 0.125055, 0.03125, 
1.632, 0.0738344, 0.00308346, 0.0792117, 0.1275, 0.127558, 0.031875, 
1.664, 0.0753082, 0.00320077, 0.0796651, 0.13, 0.130062, 0.0325, 
1.696, 0.0767818, 0.00331954, 0.0811778, 0.1325, 0.132566, 0.033125, 
1.728, 0.0782553, 0.00343963, 0.0814613, 0.135, 0.135069, 0.03375, 
1.76, 0.0797286, 0.00356238, 0.0847848, 0.1375, 0.137573, 0.034375, 
1.792, 0.0812015, 0.00368955, 0.0874693, 0.14, 0.140078, 0.035, 
1.824, 0.0826743, 0.00381865, 0.0874068, 0.1425, 0.142582, 0.035625, 
1.856, 0.084147, 0.00394834, 0.0882563, 0.145, 0.145086, 0.03625, 
1.888, 0.0856194, 0.00408134, 0.0919172, 0.1475, 0.147591, 0.036875, 
1.92, 0.0870914, 0.0042182, 0.0934934, 0.15, 0.150096, 0.0375, 
1.952, 0.0885632, 0.00435788, 0.0957453, 0.1525, 0.1526, 0.038125, 
1.984, 0.0900347, 0.00450098, 0.0981423, 0.155, 0.155105, 0.03875, 
2.016, 0.0915059, 0.00464611, 0.0985128, 0.1575, 0.157611, 0.039375, 
2.048, 0.0929769, 0.00479416, 0.102109, 0.16, 0.160116, 0.04, 
2.08, 0.0944474, 0.00494698, 0.104992, 0.162501, 0.162622, 0.040625, 
2.112, 0.0959176, 0.00510195, 0.105038, 0.165001, 0.165127, 0.04125, 
2.144, 0.0973876, 0.00525923, 0.108143, 0.167501, 0.167633, 0.041875, 
2.176, 0.0988572, 0.0054203, 0.11018, 0.170001, 0.170139, 0.0425, 
2.208, 0.100327, 0.00558313, 0.110548, 0.172501, 0.172646, 0.043125, 
2.24, 0.101796, 0.0057476, 0.112419, 0.175001, 0.175152, 0.04375, 
2.272, 0.103265, 0.00591423, 0.11348, 0.177501, 0.177659, 0.044375, 
2.304, 0.104734, 0.00608303, 0.115363, 0.180001, 0.180165, 0.045, 
2.336, 0.106202, 0.00625426, 0.116811, 0.182501, 0.182672, 0.045625, 
2.368, 0.10767, 0.00642848, 0.11942, 0.185001, 0.18518, 0.04625, 
2.4, 0.109138, 0.00660465, 0.119471, 0.187501, 0.187687, 0.046875, 
2.432, 0.110606, 0.00678159, 0.120476, 0.190001, 0.190195, 0.0475, 
2.464, 0.112073, 0.00696091, 0.122705, 0.192501, 0.192702, 0.048125, 
2.496, 0.11354, 0.00714245, 0.123514, 0.195001, 0.19521, 0.04875, 
2.528, 0.115008, 0.00732415, 0.122906, 0.197501, 0.197719, 0.049375, 
2.56, 0.116475, 0.00750476, 0.122037, 0.200001, 0.200227, 0.05, 
2.592, 0.117942, 0.00768594, 0.123685, 0.202502, 0.202736, 0.050625, 
2.624, 0.119409, 0.00787031, 0.126383, 0.205002, 0.205245, 0.05125, 
2.656, 0.120876, 0.00805511, 0.124279, 0.207502, 0.207754, 0.051875, 
2.688, 0.122343, 0.00823671, 0.12201, 0.210002, 0.210263, 0.0525, 
2.72, 0.123811, 0.00841488, 0.119615, 0.212502, 0.212773, 0.053125, 
2.752, 0.125279, 0.00858986, 0.117659, 0.215002, 0.215282, 0.05375, 
2.784, 0.126747, 0.00876346, 0.117728, 0.217502, 0.217792, 0.054375, 
2.816, 0.128215, 0.00893623, 0.11653, 0.220002, 0.220302, 0.055, 
2.848, 0.129684, 0.00910761, 0.115835, 0.222502, 0.222813, 0.055625, 
2.88, 0.131152, 0.00927636, 0.112962, 0.225003, 0.225324, 0.05625, 
2.912, 0.132622, 0.0094412, 0.110498, 0.227503, 0.227835, 0.056875, 
2.944, 0.134091, 0.00960293, 0.108733, 0.230003, 0.230346, 0.0575, 
2.976, 0.135561, 0.00976117, 0.10575, 0.232503, 0.232857, 0.058125, 
3.008, 0.137031, 0.00991612, 0.104254, 0.235003, 0.235369, 0.05875, 
3.04, 0.138502, 0.0100691, 0.103005, 0.237503, 0.237881, 0.059375, 
3.072, 0.139972, 0.0102203, 0.101892, 0.240003, 0.240393, 0.06, 
3.104, 0.141443, 0.010369, 0.0997451, 0.242503, 0.242906, 0.060625, 
3.136, 0.142914, 0.0105149, 0.0978798, 0.245003, 0.245418, 0.06125, 
3.168, 0.144386, 0.0106578, 0.0957176, 0.247504, 0.247931, 0.061875, 
3.2, 0.145858, 0.0107968, 0.0926901, 0.250004, 0.250445, 0.0625, 
3.232, 0.14733, 0.0109328, 0.0914953, 0.252504, 0.252958, 0.063125, 
3.264, 0.148802, 0.0110672, 0.0905804, 0.255004, 0.255472, 0.06375, 
3.296, 0.150275, 0.0111998, 0.0889794, 0.257504, 0.257986, 0.064375, 
3.328, 0.151747, 0.0113299, 0.0873379, 0.260004, 0.2605, 0.065, 
3.36, 0.15322, 0.0114573, 0.0852573, 0.262504, 0.263015, 0.065625, 
3.392, 0.154693, 0.0115814, 0.0827048, 0.265004, 0.26553, 0.06625, 
3.424, 0.156167, 0.0117018, 0.0803565, 0.267505, 0.268045, 0.066875, 
3.456, 0.157641, 0.0118184, 0.0775678, 0.270005, 0.270561, 0.0675, 
3.488, 0.159115, 0.0119326, 0.0770729, 0.272505, 0.273076, 0.068125, 
3.52, 0.160589, 0.0120447, 0.0747869, 0.275005, 0.275593, 0.06875, 
3.552, 0.162063, 0.0121542, 0.0734811, 0.277505, 0.278109, 0.069375, 
3.584, 0.163538, 0.0122615, 0.0717309, 0.280005, 0.280626, 0.07, 
3.616, 0.165012, 0.0123656, 0.0692537, 0.282505, 0.283143, 0.070625, 
3.648, 0.166487, 0.0124654, 0.0658898, 0.285005, 0.28566, 0.07125, 
3.68, 0.167963, 0.0125615, 0.0641401, 0.287505, 0.288178, 0.071875, 
3.712, 0.169438, 0.0126546, 0.0619859, 0.290006, 0.290696, 0.0725, 
3.744, 0.170914, 0.0127451, 0.0604707, 0.292506, 0.293214, 0.073125, 
3.776, 0.17239, 0.0128315, 0.0564541, 0.295006, 0.295732, 0.07375, 
3.808, 0.173866, 0.0129146, 0.0560219, 0.297506, 0.298251, 0.074375, 
3.84, 0.175342, 0.0129954, 0.0534233, 0.300006, 0.300771, 0.075, 
3.872, 0.176818, 0.0130737, 0.0524782, 0.302506, 0.30329, 0.075625, 
3.904, 0.178295, 0.0131494, 0.0499533, 0.305006, 0.30581, 0.07625, 
3.936, 0.179771, 0.013222, 0.0483988, 0.307506, 0.30833, 0.076875, 
3.968, 0.181248, 0.0132914, 0.0454798, 0.310006, 0.310851, 0.0775, 
4, 0.182725, 0.0133572, 0.0436067, 0.312506, 0.313372, 0.078125, 
4.032, 0.184202, 0.0134205, 0.041988, 0.315006, 0.315893, 0.07875, 
4.064, 0.185679, 0.0134807, 0.0394465, 0.317506, 0.318415, 0.079375, 
4.096, 0.187156, 0.0135373, 0.0372144, 0.320007, 0.320937, 0.08, 
4.128, 0.188634, 0.0135897, 0.0335804, 0.322507, 0.323459, 0.080625, 
4.16, 0.190112, 0.0136381, 0.0319207, 0.325007, 0.325981, 0.08125, 
4.192, 0.191589, 0.0136825, 0.0281704, 0.327507, 0.328504, 0.081875, 
4.224, 0.193067, 0.0137229, 0.0264552, 0.330007, 0.331028, 0.0825, 
4.256, 0.194545, 0.01376, 0.0238106, 0.332507, 0.333551, 0.083125, 
4.288, 0.196023, 0.0137936, 0.0217067, 0.335007, 0.336076, 0.08375, 
4.32, 0.197501, 0.0138237, 0.0190175, 0.337507, 0.3386, 0.084375, 
4.352, 0.198979, 0.0138501, 0.0166447, 0.340007, 0.341125, 0.085, 
4.384, 0.200458, 0.0138734, 0.0148026, 0.342507, 0.34365, 0.085625, 
4.416, 0.201936, 0.013894, 0.0131554, 0.345007, 0.346176, 0.08625, 
4.448, 0.203414, 0.0139112, 0.0100955, 0.347507, 0.348701, 0.086875, 
4.48, 0.204892, 0.013924, 0.00716251, 0.350007, 0.351228, 0.0875, 
4.512, 0.206371, 0.0139331, 0.00517999, 0.352507, 0.353754, 0.088125, 
4.544, 0.207849, 0.0139397, 0.00380317, 0.355007, 0.356282, 0.08875, 
4.576, 0.209328, 0.0139435, 0.00136923, 0.357507, 0.358809, 0.089375, 
4.608, 0.210806, 0.0139438, -0.00102394, 0.360007, 0.361337, 0.09, 
4.64, 0.212284, 0.0139411, -0.0025897, 0.362507, 0.363865, 0.090625, 
4.672, 0.213763, 0.0139354, -0.00519447, 0.365007, 0.366394, 0.09125, 
4.704, 0.215241, 0.0139254, -0.00825963, 0.367507, 0.368923, 0.091875, 
4.736, 0.21672, 0.0139111, -0.0110917, 0.370007, 0.371452, 0.0925, 
4.768, 0.218198, 0.0138929, -0.0136152, 0.372507, 0.373982, 0.093125, 
4.8, 0.219676, 0.0138708, -0.0162165, 0.375007, 0.376512, 0.09375, 
4.832, 0.221154, 0.0138457, -0.0177787, 0.377507, 0.379043, 0.094375, 
4.864, 0.222632, 0.0138186, -0.0188018, 0.380007, 0.381574, 0.095, 
4.896, 0.22411, 0.0137889, -0.0214444, 0.382507, 0.384105, 0.095625, 
4.928, 0.225589, 0.0137555, -0.0237157, 0.385007, 0.386637, 0.09625, 
4.96, 0.227066, 0.0137182, -0.0267361, 0.387507, 0.38917, 0.096875, 
4.992, 0.228544, 0.0136766, -0.0295802, 0.390007, 0.391702, 0.0975, 
5.024, 0.230022, 0.0136318, -0.0310705, 0.392507, 0.394235, 0.098125, 
5.056, 0.2315, 0.0135852, -0.031971, 0.395007, 0.396769, 0.09875, 
5.088, 0.232977, 0.0135359, -0.034703, 0.397507, 0.399303, 0.099375, 
5.12, 0.234455, 0.0134837, -0.0359467, 0.400007, 0.401837, 0.1, 
5.152, 0.235932, 0.013429, -0.0380368, 0.402506, 0.404372, 0.100625, 
5.184, 0.237409, 0.0133711, -0.0403389, 0.405006, 0.406908, 0.10125, 
5.216, 0.238886, 0.0133098, -0.0426225, 0.407506, 0.409443, 0.101875, 
5.248, 0.240363, 0.0132456, -0.0442835, 0.410006, 0.411979, 0.1025, 
5.28, 0.24184, 0.0131787, -0.0461577, 0.412506, 0.414516, 0.103125, 
5.312, 0.243317, 0.0131096, -0.0474712, 0.415006, 0.417053, 0.10375, 
5.344, 0.244794, 0.0130377, -0.0497665, 0.417506, 0.419591, 0.104375, 
5.376, 0.24627, 0.0129621, -0.0525279, 0.420006, 0.422129, 0.105, 
5.408, 0.247746, 0.0128819, -0.056021, 0.422506, 0.424667, 0.105625, 
5.44, 0.249223, 0.0127987, -0.0565607, 0.425006, 0.427206, 0.10625, 
5.472, 0.250699, 0.0127144, -0.0576458, 0.427506, 0.429745, 0.106875, 
5.504, 0.252174, 0.0126289, -0.058082, 0.430006, 0.432285, 0.1075, 
5.536, 0.25365, 0.0125411, -0.0607, 0.432505, 0.434825, 0.108125, 
5.568, 0.255126, 0.0124505, -0.0619742, 0.435005, 0.437366, 0.10875, 
5.6, 0.256601, 0.0123567, -0.065064, 0.437505, 0.439907, 0.109375, 
5.632, 0.258076, 0.0122588, -0.0673872, 0.440005, 0.442449, 0.11, 
5.664, 0.259551, 0.0121573, -0.07012, 0.442505, 0.444991, 0.110625, 
5.696, 0.261026, 0.0120527, -0.0714544, 0.445005, 0.447533, 0.11125, 
5.728, 0.2625, 0.0119444, -0.0751959, 0.447505, 0.450077, 0.111875, 
5.76, 0.263975, 0.0118324, -0.0763781, 0.450005, 0.45262, 0.1125, 
5.792, 0.265449, 0.0117186, -0.077768, 0.452505, 0.455164, 0.113125, 
5.824, 0.266922, 0.0116026, -0.0793554, 0.455005, 0.457709, 0.11375, 
5.856, 0.268396, 0.0114863, -0.078141, 0.457504, 0.460254, 0.114375, 
5.888, 0.26987, 0.0113703, -0.0789124, 0.460004, 0.462799, 0.115, 
5.92, 0.271344, 0.0112527, -0.0803478, 0.462504, 0.465345, 0.115625, 
5.952, 0.272817, 0.0111328, -0.0820853, 0.465004, 0.467892, 0.11625, 
5.984, 0.274291, 0.0110096, -0.0847296, 0.467504, 0.470439, 0.116875, 
6.016, 0.275764, 0.0108835, -0.086021, 0.470004, 0.472986, 0.1175, 
6.048, 0.277236, 0.0107544, -0.0888469, 0.472504, 0.475534, 0.118125, 
6.08, 0.278709, 0.0106217, -0.090924, 0.475004, 0.478083, 0.11875, 
6.112, 0.280181, 0.0104872, -0.09127, 0.477504, 0.480632, 0.119375, 
6.144, 0.281653, 0.0103511, -0.0931911, 0.480004, 0.483181, 0.12, 
6.176, 0.283125, 0.0102131, -0.0937669, 0.482504, 0.485731, 0.120625, 
6.208, 0.284597, 0.0100746, -0.0938688, 0.485004, 0.488282, 0.12125, 
6.24, 0.286069, 0.00993416, -0.0963962, 0.487504, 0.490833, 0.121875, 
6.272, 0.28754, 0.00978971, -0.0993325, 0.490003, 0.493384, 0.1225, 
6.304, 0.289011, 0.00964102, -0.102148, 0.492503, 0.495936, 0.123125, 
6.336, 0.290482, 0.00949168, -0.10023, 0.495003, 0.498489, 0.12375, 
6.368, 0.291953, 0.00934183, -0.102845, 0.497503, 0.501042, 0.124375, 
6.4, 0.293423, 0.00918838, -0.105111, 0.500003, 0.503596, 0.125, 
6.432, 0.294893, 0.00903297, -0.105516, 0.502503, 0.50615, 0.125625, 
6.464, 0.296363, 0.00887584, -0.107463, 0.505003, 0.508705, 0.12625, 
6.496, 0.297833, 0.00871586, -0.109384, 0.507503, 0.51126, 0.126875, 
6.528, 0.299303, 0.00855576, -0.107624, 0.510003, 0.513816, 0.1275, 
6.56, 0.300772, 0.00839611, -0.108778, 0.512503, 0.516372, 0.128125, 
6.592, 0.302242, 0.00823414, -0.110769, 0.515003, 0.518929, 0.12875, 
6.624, 0.303711, 0.00806895, -0.113178, 0.517503, 0.521486, 0.129375, 
6.656, 0.30518, 0.00789977, -0.116193, 0.520003, 0.524044, 0.13, 
6.688, 0.306648, 0.00772827, -0.116341, 0.522503, 0.526603, 0.130625, 
6.72, 0.308116, 0.00755522, -0.118297, 0.525003, 0.529162, 0.13125, 
6.752, 0.309584, 0.00738037, -0.1188, 0.527503, 0.531722, 0.131875, 
6.784, 0.311052, 0.00720407, -0.120263, 0.530003, 0.534282, 0.1325, 
6.816, 0.31252, 0.0070262, -0.120956, 0.532503, 0.536843, 0.133125, 
6.848, 0.313987, 0.006847, -0.122057, 0.535003, 0.539404, 0.13375, 
6.88, 0.315455, 0.00666491, -0.124906, 0.537503, 0.541966, 0.134375, 
6.912, 0.316922, 0.00648047, -0.125254, 0.540004, 0.544528, 0.135, 
6.944, 0.318388, 0.00629518, -0.126075, 0.542504, 0.547091, 0.135625, 
6.976, 0.319855, 0.00610892, -0.126572, 0.545004, 0.549655, 0.13625, 
7.008, 0.321321, 0.00592108, -0.128226, 0.547504, 0.552219, 0.136875, 
7.04, 0.322787, 0.0057301, -0.130862, 0.550004, 0.554784, 0.1375, 
7.072, 0.324253, 0.0055362, -0.132206, 0.552504, 0.557349, 0.138125, 
7.104, 0.325718, 0.00534028, -0.133622, 0.555004, 0.559915, 0.13875, 
7.136, 0.327183, 0.00514305, -0.133996, 0.557504, 0.562481, 0.139375, 
7.168, 0.328648, 0.00494448, -0.135442, 0.560005, 0.565049, 0.14, 
7.2, 0.330113, 0.00474385, -0.136807, 0.562505, 0.567616, 0.140625, 
7.232, 0.331578, 0.00454093, -0.138587, 0.565005, 0.570184, 0.14125, 
7.264, 0.333042, 0.00433524, -0.140576, 0.567505, 0.572753, 0.141875, 
7.296, 0.334505, 0.00412682, -0.142315, 0.570005, 0.575323, 0.1425, 
7.328, 0.335968, 0.00391491, -0.145349, 0.572506, 0.577893, 0.143125, 
7.36, 0.337431, 0.00369876, -0.14812, 0.575006, 0.580463, 0.14375, 
7.392, 0.338893, 0.00347978, -0.149214, 0.577506, 0.583035, 0.144375, 
7.424, 0.340355, 0.00325766, -0.15242, 0.580006, 0.585606, 0.145, 
7.456, 0.341816, 0.00303357, -0.151906, 0.582507, 0.588179, 0.145625, 
7.488, 0.343277, 0.00280774, -0.154792, 0.585007, 0.590752, 0.14625, 
7.52, 0.344738, 0.00257923, -0.155593, 0.587507, 0.593325, 0.146875, 
7.552, 0.346198, 0.00234904, -0.157078, 0.590008, 0.595899, 0.1475, 
7.584, 0.347658, 0.00211779, -0.15705, 0.592508, 0.598474, 0.148125, 
7.616, 0.349118, 0.0018864, -0.157266, 0.595009, 0.60105, 0.14875, 
7.648, 0.350578, 0.00165455, -0.157691, 0.597509, 0.603626, 0.149375, 
7.68, 0.352038, 0.00142163, -0.158725, 0.60001, 0.606202, 0.15, 
7.712, 0.353498, 0.00118607, -0.161299, 0.60251, 0.60878, 0.150625, 
7.744, 0.354957, 0.00094978, -0.159739, 0.60501, 0.611358, 0.15125, 
7.776, 0.356417, 0.000715098, -0.159091, 0.607511, 0.613936, 0.151875, 
7.808, 0.357877, 0.000480689, -0.159365, 0.610011, 0.616516, 0.1525, 
7.84, 0.359336, 0.0002451, -0.160707, 0.612512, 0.619096, 0.153125, 
7.872, 0.360795, 7.37771e-06, -0.162289, 0.615012, 0.621676, 0.15375, 
7.904, 0.362254, -0.000231658, -0.162508, 0.617513, 0.624257, 0.154375, 
7.936, 0.363713, -0.000471845, -0.163866, 0.620014, 0.626839, 0.155, 
7.968, 0.365171, -0.000714022, -0.165237, 0.622514, 0.629422, 0.155625, 
8, 0.366629, -0.000958635, -0.167209, 0.625015, 0.632005, 0.15625, 
8.032, 0.368087, -0.00120606, -0.169094, 0.627516, 0.634588, 0.156875, 
8.064, 0.369544, -0.00145713, -0.172218, 0.630016, 0.637173, 0.1575, 
8.096, 0.371, -0.00171124, -0.173256, 0.632517, 0.639758, 0.158125, 
8.128, 0.372456, -0.00196853, -0.17659, 0.635018, 0.642343, 0.15875, 
8.16, 0.373911, -0.00222901, -0.177644, 0.637518, 0.64493, 0.159375, 
8.192, 0.375366, -0.00249167, -0.179581, 0.640019, 0.647516, 0.16, 
8.224, 0.376821, -0.00275694, -0.18123, 0.64252, 0.650104, 0.160625, 
8.256, 0.378275, -0.00302519, -0.183683, 0.645021, 0.652692, 0.16125, 
8.288, 0.379728, -0.00329436, -0.182505, 0.647522, 0.655281, 0.161875, 
8.32, 0.381182, -0.00356239, -0.1821, 0.650023, 0.657871, 0.1625, 
8.352, 0.382636, -0.00382957, -0.18134, 0.652524, 0.660461, 0.163125, 
8.384, 0.38409, -0.00409778, -0.183516, 0.655025, 0.663052, 0.16375, 
8.416, 0.385544, -0.00436845, -0.184728, 0.657526, 0.665644, 0.164375, 
8.448, 0.386997, -0.0046415, -0.186801, 0.660027, 0.668236, 0.165, 
8.48, 0.388449, -0.00491633, -0.187159, 0.662528, 0.670829, 0.165625, 
8.512, 0.389902, -0.00519242, -0.18855, 0.665029, 0.673422, 0.16625, 
8.544, 0.391353, -0.00547143, -0.191167, 0.66753, 0.676017, 0.166875, 
8.576, 0.392805, -0.00575228, -0.191104, 0.670031, 0.678612, 0.1675, 
8.608, 0.394256, -0.00603254, -0.190345, 0.672532, 0.681207, 0.168125, 
8.64, 0.395708, -0.00631379, -0.192464, 0.675034, 0.683804, 0.16875, 
8.672, 0.397159, -0.00659857, -0.195215, 0.677535, 0.686401, 0.169375, 
8.704, 0.398608, -0.00688728, -0.197885, 0.680036, 0.688999, 0.17, 
8.736, 0.400058, -0.00717827, -0.198346, 0.682537, 0.691597, 0.170625, 
8.768, 0.401507, -0.00747133, -0.200756, 0.685039, 0.694196, 0.17125, 
8.8, 0.402956, -0.00776723, -0.202264, 0.68754, 0.696796, 0.171875, 
8.832, 0.404403, -0.00806573, -0.204349, 0.690042, 0.699396, 0.1725, 
8.864, 0.405851, -0.00836778, -0.207158, 0.692543, 0.701997, 0.173125, 
8.896, 0.407298, -0.00867156, -0.20675, 0.695045, 0.704599, 0.17375, 
8.928, 0.408744, -0.00897529, -0.207097, 0.697546, 0.707202, 0.174375, 
8.96, 0.410191, -0.00928053, -0.20882, 0.700048, 0.709805, 0.175, 
8.992, 0.411637, -0.00958794, -0.210101, 0.70255, 0.712409, 0.175625, 
9.024, 0.413083, -0.00989687, -0.210931, 0.705051, 0.715013, 0.17625, 
9.056, 0.414528, -0.0102073, -0.212212, 0.707553, 0.717619, 0.176875, 
9.088, 0.415973, -0.0105199, -0.213786, 0.710055, 0.720225, 0.1775, 
9.12, 0.417418, -0.0108343, -0.214872, 0.712557, 0.722832, 0.178125, 
9.152, 0.418862, -0.0111509, -0.2168, 0.715059, 0.725439, 0.17875, 
9.184, 0.420305, -0.0114705, -0.219042, 0.717561, 0.728047, 0.179375, 
9.216, 0.421748, -0.0117928, -0.220373, 0.720063, 0.730656, 0.18, 
9.248, 0.423191, -0.0121173, -0.222258, 0.722565, 0.733266, 0.180625, 
9.28, 0.424633, -0.0124434, -0.222519, 0.725067, 0.735876, 0.18125, 
9.312, 0.426074, -0.0127706, -0.223816, 0.727569, 0.738487, 0.181875, 
9.344, 0.427516, -0.0130996, -0.225028, 0.730071, 0.741099, 0.1825, 
9.376, 0.428957, -0.0134302, -0.2261, 0.732573, 0.743711, 0.183125, 
9.408, 0.430397, -0.0137624, -0.227123, 0.735076, 0.746324, 0.18375, 
9.44, 0.431837, -0.0140964, -0.228744, 0.737578, 0.748938, 0.184375, 
9.472, 0.433277, -0.0144325, -0.229821, 0.74008, 0.751553, 0.185, 
9.504, 0.434716, -0.0147712, -0.232518, 0.742583, 0.754169, 0.185625, 
9.536, 0.436154, -0.0151129, -0.234016, 0.745085, 0.756785, 0.18625, 
9.568, 0.437592, -0.0154568, -0.235438, 0.747588, 0.759401, 0.186875, 
9.6, 0.43903, -0.0158016, -0.23543, 0.750091, 0.762019, 0.1875, 
9.632, 0.440467, -0.0161469, -0.23598, 0.752593, 0.764637, 0.188125, 
9.664, 0.441905, -0.0164936, -0.237502, 0.755096, 0.767256, 0.18875, 
9.696, 0.443341, -0.0168429, -0.23959, 0.757599, 0.769876, 0.189375, 
9.728, 0.444777, -0.0171954, -0.241838, 0.760102, 0.772497, 0.19, 
9.76, 0.446212, -0.0175507, -0.243655, 0.762605, 0.775118, 0.190625, 
9.792, 0.447646, -0.0179093, -0.246219, 0.765108, 0.77774, 0.19125, 
9.824, 0.44908, -0.0182692, -0.245697, 0.767611, 0.780363, 0.191875, 
9.856, 0.450514, -0.0186295, -0.246708, 0.770114, 0.782986, 0.1925, 
9.888, 0.451948, -0.0189907, -0.246868, 0.772617, 0.78561, 0.193125, 
9.92, 0.453381, -0.019353, -0.248304, 0.775121, 0.788236, 0.19375, 
9.952, 0.454814, -0.0197164, -0.248407, 0.777624, 0.790861, 0.194375, 
9.984, 0.456247, -0.020081, -0.249961, 0.780127, 0.793488, 0.195, 
10.016, 0.457679, -0.0204482, -0.252048, 0.782631, 0.796115, 0.195625, 
10.048, 0.45911, -0.0208182, -0.253832, 0.785134, 0.798743, 0.19625, 
10.08, 0.460541, -0.0211895, -0.253962, 0.787638, 0.801372, 0.196875, 
10.112, 0.461972, -0.021562, -0.255378, 0.790142, 0.804002, 0.1975, 
10.144, 0.463402, -0.0219374, -0.258103, 0.792645, 0.806632, 0.198125, 
10.176, 0.464831, -0.0223165, -0.260591, 0.795149, 0.809263, 0.19875, 
10.208, 0.466259, -0.0226983, -0.261806, 0.797653, 0.811895, 0.199375, 
10.24, 0.467687, -0.0230826, -0.264112, 0.800157, 0.814528, 0.2, 
